enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,tau,reward_signal_steps_per_update,init_entcoef,num_parallel_agents,training_duration_seconds,peak_ram_mb,gamma,strength,summary_freq,os,timestamp,gpu_available,gpu,gpu_memory_gb,final_mean_entropy,final_sum_entropy,final_mean_reward,final_sum_reward,final_cumulative_mean_reward,final_cumulative_sum_reward,final_mean_extrinsic_value_estimate,final_sum_extrinsic_value_estimate,final_mean_policy_loss,final_sum_policy_loss,final_mean_value_loss,final_sum_value_loss,final_mean_q1_loss,final_sum_q1_loss,final_mean_q2_loss,final_sum_q2_loss,final_mean_cont_entropy_coeff,final_sum_cont_entropy_coeff,final_learning_rate_mean,final_learning_rate_sum
Crawler,ppo,0.0001049173207448,1024,803,5,630152,630062,63.77914810180664,28,64,2048,0.0026319215295262,0.2066548052528558,0.915535388953659,10,0.0,0.0,0.0,1,507.4083567999987,1174.48046875,0.8980440860484329,1.0,10000,Windows,2026-01-04T17:27:02.025006,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.3473058938980105,13971.5625,724.1489205848426,14482.978411696851,724.1489205848426,14482.978411696851,15.894132614135742,2670.21435546875,0.0223494026489788,0.0893976105959154,6.300051069259643,25.200204277038573,0,0,0,0,0,0,0.0001049173207448,0.0004196692829793
Crawler,ppo,0.0001016365725559,1024,567,5,623079,622737,63.77914810180664,28,128,10240,0.00398505213724,0.2315564934787393,0.9444938657106908,8,0.0,0.0,0.0,1,412.6331270999981,1208.67578125,0.9330796114658532,1.0,10000,Windows,2026-01-04T17:33:59.123499,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.3144710063934326,12934.39453125,308.2046152519492,4006.65999827534,308.2046152519492,4006.65999827534,14.43657684326172,1198.23583984375,0.0252540473971748,0.0252540473971748,6.658798438310623,6.658798438310623,0,0,0,0,0,0,0.0001016365725559,0.0001016365725559
Crawler,ppo,0.0001093595936342,256,179,5,929505,929395,63.77914810180664,28,64,4096,0.0077905639044314,0.2556030892381346,0.9510718462551372,6,0.0,0.0,0.0,1,596.3390383000005,1141.62890625,0.8305446598515578,1.0,10000,Windows,2026-01-04T17:43:59.848083,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.291654109954834,12593.6279296875,406.36421848802667,14222.747647080934,406.36421848802667,14222.747647080934,8.860394477844238,1550.569091796875,0.0450527168254161,0.1351581504762483,1.9784885367585552,5.935465610275665,0,0,0,0,0,0,0.0001093595936342,0.0003280787809026
Crawler,ppo,0.0002515619519598,256,687,3,754631,754548,63.77914810180664,28,256,8192,0.0042353607436438,0.1549102995943632,0.9860217727187665,10,0.0,0.0,0.0,1,615.4626958000008,1236.37109375,0.8181641639553732,1.0,10000,Windows,2026-01-04T17:54:19.818192,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.744088888168335,5945.27001953125,147.36923720811805,1768.4308464974165,147.36923720811805,1768.4308464974165,0.9981828331947328,41.92367935180664,0.0495801302522977,0.0495801302522977,0.1754704646533355,0.1754704646533355,0,0,0,0,0,0,0.0002515619519598,0.0002515619519598
Crawler,ppo,0.0005670204682639,256,632,2,837106,837043,63.77914810180664,28,128,4096,0.001352346381614,0.1983885037238644,0.9161413720088726,8,0.0,0.0,0.0,1,582.5149576000003,1177.62890625,0.9764481470226154,1.0,10000,Windows,2026-01-04T18:04:06.857849,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.3377919495105743,3357.65185546875,83.24536700762498,2497.3610102287494,83.24536700762498,2497.3610102287494,6.856151103973389,610.1974487304688,0.0457334965394693,0.0914669930789386,2.811321293353103,5.622642586706206,0,0,0,0,0,0,0.0005670204682639,0.0011340409365278
Crawler,ppo,0.0001592031255044,512,714,2,607389,607172,63.77914810180664,28,256,4096,0.0037536373487672,0.2185553628337208,0.9439076450686013,9,0.0,0.0,0.0,1,406.7691597999983,1218.37890625,0.9882402992764292,1.0,10000,Windows,2026-01-04T18:10:58.129209,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.2749829292297363,14126.810546875,110.10992097854614,1981.9785776138303,110.10992097854614,1981.9785776138303,27.302295684814453,1337.8125,0.0334193412014529,0.0668386824029059,21.32549981276194,42.65099962552388,0,0,0,0,0,0,0.0001592031255044,0.0003184062510089
Crawler,ppo,0.000596849917824,2048,409,3,816888,816787,63.77914810180664,28,128,8192,0.0029790883017023,0.2433644760009912,0.980207945010864,5,0.0,0.0,0.0,1,352.29088769999726,1187.66796875,0.9049283681815488,1.0,10000,Windows,2026-01-04T18:16:54.675773,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.2394843101501465,12828.662109375,226.6443853450544,7479.264716386795,226.6443853450544,7479.264716386795,9.86345672607422,917.301513671875,0.0191630111949052,0.0191630111949052,6.170472168922425,6.170472168922425,0,0,0,0,0,0,0.000596849917824,0.000596849917824
Basic,ppo,0.0006730510897315,128,433,2,595736,595626,63.77914810180664,28,256,2048,0.0035766237827102,0.2588108127139586,0.9666035667265632,4,0.0,0.0,0.0,1,1012.6767758000024,1321.7578125,0.8042366178053694,1.0,10000,Windows,2026-01-04T20:31:44.400000,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,6.066486548661487e-06,0.052450843155384,0.9280811079510048,1281.6800100803375,0.9280811079510048,1281.6800100803375,-0.0509560070931911,-1.9872843027114868,0.0724524277708648,0.2898097110834594,1.0345666130154703e-06,4.138266452061881e-06,0,0,0,0,0,0,0.0006730510897315,0.0026922043589262
Basic,ppo,0.0007973214023877,512,227,5,111285,792580,63.77914810180664,28,128,2048,0.0098239057056378,0.2889246946483482,0.9487952539633918,9,0.0,0.0,0.0,1,231.4248255999992,1281.11328125,0.8192278265851469,1.0,10000,Windows,2026-01-04T20:35:39.740963,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.1920927533992653e-07,-0.0011934040812775,0.9300000071525574,1328.9700102210045,0.9300000071525574,1328.9700102210045,0.5661811828613281,809.0728759765625,0.0315272516260544,0.1576362581302722,8.604103155260586e-15,4.302051577630293e-14,0,0,0,0,0,0,0.0007973214023877,0.0039866070119386
Walker,ppo,0.0002749061628786,64,198,2,3163682,3163646,63.77914810180664,28,256,2048,0.0033190663371018,0.1580549248520754,0.9694667586348444,9,0.0,0.0,0.0,1,4391.800206,1117.87890625,0.8468251445867762,1.0,10000,Windows,2026-01-04T21:54:22.605272,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.4453186690807342,-4413.10791015625,4.279985717744441,3167.189431130886,4.279985717744441,3167.189431130886,1.312341332435608,971.1326293945312,0.0924469840876952,0.4622349204384762,0.2214499724343707,1.1072498621718538,0,0,0,0,0,0,0.0002749061628786,0.0013745308143932
Walker,ppo,0.0003886104362256,512,1007,2,3195614,3195557,63.77914810180664,28,512,8192,0.0021531915186905,0.202873040969419,0.9867187332183924,5,0.0,0.0,0.0,1,1791.555646599998,1174.46484375,0.8276774626808843,1.0,10000,Windows,2026-01-04T22:24:18.443682,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.1305471211671829,-1306.776611328125,8.701253746196137,6334.512727230787,8.701253746196137,6334.512727230787,2.744801044464112,1998.215087890625,0.0371397069073282,0.0371397069073282,0.3566833708435297,0.3566833708435297,0,0,0,0,0,0,0.0003886104362256,0.0003886104362256
Walker,ppo,0.0001672157547941,1024,204,2,3479941,3479778,63.77914810180664,28,1024,4096,0.0027560853762659,0.1957391599557704,0.9880836657440838,6,0.0,0.0,0.0,1,1556.2548813999963,1129.32421875,0.895845669123204,1.0,10000,Windows,2026-01-04T22:50:18.985273,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.7941960692405701,8235.8134765625,37.19465169734156,14654.692768752577,37.19465169734156,14654.692768752577,9.75532054901123,3843.596435546875,0.022441778321081,0.0448835566421621,4.747535462180773,9.495070924361546,0,0,0,0,0,0,0.0001672157547941,0.0003344315095882
