enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,training_duration_seconds,peak_ram_mb,summary_freq,os,gpu_available,gpu,gpu_memory_gb,final_mean_reward
Hallway,ppo,0.0003542409567748,512,607,4,558144,557497,63.7791481018066,28,128,10240,0.0078672200523031,0.258132961503939,0.985785998328042,5.0,173.1376213,1492.28515625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.898688958088557
Hallway,ppo,0.0004073459587716,1024,802,4,570357,567867,63.7791481018066,28,256,2048,0.0094566561134005,0.15791283575956,0.90743683913336,6.0,173.0455588,1589.63671875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.82381826097315
PushBlock,ppo,0.0005907051487197,2048,203,1,892031,891574,63.7791481018066,28,1024,8192,0.0033038604209682,0.229490124263363,0.946288756215375,4.0,233.003087900001,2511.23046875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,4.65602414053062
PushBlock,ppo,0.0006040327194956,64,130,2,563854,550053,63.7791481018066,28,1024,4096,0.0072153541829714,0.216300860066207,0.98871604022108,5.0,351.562859600002,2515.88671875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
PushBlock,ppo,0.0001064377460774,256,438,2,952791,952294,63.7791481018066,28,128,10240,0.0085344996985908,0.1828834179403,0.970732558756254,8.0,453.3920162,1499.31640625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,4.74389919390281
PushBlock,ppo,0.0001274610780852,512,557,5,761520,750355,63.7791481018066,28,1024,10240,0.006145708158423,0.148435283167702,0.988671026708342,3.0,196.719363100001,2632.26953125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000011920929
PushBlock,ppo,0.0001301203921875,512,646,3,780247,779279,63.7791481018066,28,128,4096,0.0039584566649623,0.202284938072848,0.967742129898189,9.0,361.162163000001,1492.22265625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,4.65776544479797
PushBlock,ppo,0.000138931537269,256,173,2,567913,567281,63.7791481018066,28,64,8192,0.0030121385259654,0.155960213525605,0.903371738310614,3.0,162.6122961,1390.078125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,3.76261662443479
PushBlock,ppo,0.0001744903402289,1024,555,1,650223,643152,63.7791481018066,28,512,8192,0.0080642198399904,0.171916251945932,0.912758394891413,6.0,207.670148500001,1979.63671875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.00000005960464
PushBlock,ppo,0.0001234856193557,1024,870,3,770740,770689,63.7791481018066,28,128,8192,0.0052533747471292,0.15661232270613,0.958298234047313,8.0,302.1177613,1544.828125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,4.90806276287908
PushBlock,ppo,0.00090470621943,512,438,2,987738,987269,63.7791481018066,28,256,2048,0.0094196095985426,0.153903262513428,0.965378406977766,8.0,412.339854400001,1664.23046875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,3.96445000916719
PushBlock,ppo,0.0001158520193596,512,137,2,763958,762343,63.7791481018066,28,256,10240,0.008471516615366,0.144471222717357,0.932101654482494,3.0,218.368983200002,1654.44140625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-0.280789521963973
Crawler,ppo,0.000420628636683,2048,141,4,951087,950942,63.7791481018066,28,256,8192,0.003292836850215,0.24970612513104,0.912704354037172,4.0,372.465320399999,1222.703125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,54.2094169420501
Crawler,ppo,0.0002329937601339,2048,183,3,647927,647261,63.7791481018066,28,1024,8192,0.0044159194658126,0.265497011613057,0.96073893727442,6.0,322.436320499997,1469.015625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,116.893704967065
Crawler,ppo,0.0001042624010916,64,196,5,724128,724114,63.7791481018066,28,128,4096,0.0082213389397212,0.149666155858795,0.945722242251993,10.0,1103.3052,1161.484375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,109.412592650568
Crawler,ppo,0.0001049173207448,1024,803,5,630152,630062,63.7791481018066,28,64,2048,0.0026319215295262,0.206654805252856,0.915535388953659,10.0,507.408356799999,1174.48046875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,724.148920584843
Crawler,ppo,0.0001016365725559,1024,567,5,623079,622737,63.7791481018066,28,128,10240,0.00398505213724,0.231556493478739,0.944493865710691,8.0,412.633127099998,1208.67578125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,308.204615251949
Crawler,ppo,0.0001093595936342,256,179,5,929505,929395,63.7791481018066,28,64,4096,0.0077905639044314,0.255603089238135,0.951071846255137,6.0,596.339038300001,1141.62890625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,406.364218488027
Crawler,ppo,0.0002515619519598,256,687,3,754631,754548,63.7791481018066,28,256,8192,0.0042353607436438,0.154910299594363,0.986021772718767,10.0,615.462695800001,1236.37109375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,147.369237208118
Crawler,ppo,0.0005670204682639,256,632,2,837106,837043,63.7791481018066,28,128,4096,0.001352346381614,0.198388503723864,0.916141372008873,8.0,582.5149576,1177.62890625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,83.245367007625
Crawler,ppo,0.0001592031255044,512,714,2,607389,607172,63.7791481018066,28,256,4096,0.0037536373487672,0.218555362833721,0.943907645068601,9.0,406.769159799998,1218.37890625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,110.109920978546
Crawler,ppo,0.000596849917824,2048,409,3,816888,816787,63.7791481018066,28,128,8192,0.0029790883017023,0.243364476000991,0.980207945010864,5.0,352.290887699997,1187.66796875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,226.644385345054
Basic,ppo,0.0006730510897315,128,433,2,595736,595626,63.7791481018066,28,256,2048,0.0035766237827102,0.258810812713959,0.966603566726563,4.0,1012.6767758,1321.7578125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.928081107951005
Basic,ppo,0.0007973214023877,512,227,5,111285,792580,63.7791481018066,28,128,2048,0.0098239057056378,0.288924694648348,0.948795253963392,9.0,231.424825599999,1281.11328125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.930000007152557
Walker,ppo,0.0002749061628786,64,198,2,3163682,3163646,63.7791481018066,28,256,2048,0.0033190663371018,0.158054924852075,0.969466758634844,9.0,4391.800206,1117.87890625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,4.27998571774444
Walker,ppo,0.0003886104362256,512,1007,2,3195614,3195557,63.7791481018066,28,512,8192,0.0021531915186905,0.202873040969419,0.986718733218392,5.0,1791.5556466,1174.46484375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,8.70125374619614
Walker,ppo,0.0001672157547941,1024,204,2,3479941,3479778,63.7791481018066,28,1024,4096,0.0027560853762659,0.19573915995577,0.988083665744084,6.0,1556.2548814,1129.32421875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,37.1946516973416
Walker,ppo,0.0001829149660845,2048,630,5,2254373,2254277,63.7791481018066,28,256,8192,0.008968295999211,0.18837969100512,0.971928633394755,6.0,1116.6248985,1183.1328125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,27.9757249502638
Walker,ppo,0.0002867343987977,256,317,1,3157741,3157647,63.7791481018066,28,256,2048,0.0093121083339091,0.162532151671579,0.918012323240401,7.0,1783.5228341,1117.20703125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,18.289214615736
